epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3534,0.87689,2.79675,1.142,0.72146,0.83699,0.84988,0.69369,0.65469,1.26086,0.95978,0.00016612,0.00016612,0.00016612
2,112.341,0.82934,1.71121,1.11721,0.8577,0.86637,0.9513,0.80224,0.59405,0.86788,0.91147,0.000316314,0.000316314,0.000316314
3,165.793,0.80798,1.44877,1.09763,0.91108,0.91434,0.96927,0.82249,0.60216,0.67482,0.9115,0.000450008,0.000450008,0.000450008
4,218.706,0.79912,1.29298,1.08256,0.93755,0.94629,0.98243,0.82855,0.58761,0.5904,0.90877,0.00042575,0.00042575,0.00042575
5,271.46,0.77302,1.18946,1.07368,0.95652,0.96473,0.98219,0.85195,0.54856,0.50962,0.88362,0.000401,0.000401,0.000401
6,323.497,0.75466,1.11048,1.06228,0.96084,0.9637,0.98785,0.84895,0.55182,0.49528,0.88093,0.00037625,0.00037625,0.00037625
7,376.135,0.73961,1.04878,1.05474,0.97454,0.97128,0.98841,0.86435,0.53837,0.43777,0.87796,0.0003515,0.0003515,0.0003515
8,429.203,0.72007,0.97856,1.03937,0.97851,0.98551,0.9907,0.8706,0.51156,0.38121,0.86465,0.00032675,0.00032675,0.00032675
9,482.006,0.70598,0.93669,1.03479,0.97706,0.9843,0.99041,0.87263,0.5142,0.38285,0.86538,0.000302,0.000302,0.000302
10,534.815,0.69352,0.88713,1.03448,0.98492,0.98415,0.98912,0.87381,0.51535,0.37154,0.8651,0.00027725,0.00027725,0.00027725
11,587.406,0.50159,0.45549,0.88336,0.97382,0.98808,0.98788,0.8717,0.51504,0.34548,0.85956,0.0002525,0.0002525,0.0002525
12,638.323,0.4914,0.41384,0.87561,0.98864,0.98799,0.99149,0.87916,0.51085,0.33604,0.8539,0.00022775,0.00022775,0.00022775
13,689.52,0.48166,0.38549,0.86919,0.98672,0.98819,0.99131,0.88559,0.49202,0.31358,0.85082,0.000203,0.000203,0.000203
14,740.506,0.46602,0.35622,0.86645,0.98844,0.99222,0.99073,0.88643,0.48944,0.29363,0.84726,0.00017825,0.00017825,0.00017825
15,790.264,0.46433,0.33663,0.86372,0.98932,0.99336,0.99189,0.88757,0.48506,0.2839,0.84676,0.0001535,0.0001535,0.0001535
16,840.1,0.45494,0.32311,0.86361,0.9869,0.99102,0.99195,0.89286,0.47517,0.26899,0.84202,0.00012875,0.00012875,0.00012875
17,889.962,0.44784,0.30271,0.85937,0.98822,0.99266,0.99222,0.89366,0.47566,0.26619,0.84232,0.000104,0.000104,0.000104
18,939.883,0.44135,0.29134,0.85977,0.9886,0.99276,0.99167,0.89518,0.47315,0.2545,0.84074,7.925e-05,7.925e-05,7.925e-05
19,988.923,0.43461,0.28032,0.85532,0.98933,0.99299,0.99145,0.89489,0.4684,0.2474,0.83966,5.45e-05,5.45e-05,5.45e-05
20,1038.87,0.42774,0.27063,0.85687,0.99158,0.99429,0.99167,0.89764,0.46486,0.23977,0.839,2.975e-05,2.975e-05,2.975e-05
